folder_name,models,rules,lm_accuracy,lm_precision,lm_recall,lm_ROCAUC,lm_f1,lm_CM_TN,lm_CM_FP,lm_CM_FN,lm_CM_TP,mlv_accuracy,mlv_precision,mlv_recall,mlv_ROCAUC,mlv_f1,mlv_CM_TN,mlv_CM_FP,mlv_CM_FN,mlv_CM_TP
run13,1,0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run14,1,1,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7727272727272727,0.9870967741935484,0.5148249828414551,0.8668555240793201,2.0,45.0,2.0,153.0
run15,1,2,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run16,1,3,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run17,1,4,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run18,1,5,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run19,1,6,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run20,1,7,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run21,1,8,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run22,1,9,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7727272727272727,0.9870967741935484,0.5148249828414551,0.8668555240793201,2.0,45.0,2.0,153.0
run23,1,10,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7727272727272727,0.9870967741935484,0.5148249828414551,0.8668555240793201,2.0,45.0,2.0,153.0
run24,1,11,0.2871287128712871,0.7619047619047619,0.1032258064516129,0.4984214138641043,0.18181818181818185,42.0,5.0,139.0,16.0,0.5099009900990099,0.7545454545454545,0.535483870967742,0.4805078929306795,0.6264150943396226,20.0,27.0,72.0,83.0
run25,1,12,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0,0.7772277227722773,0.7806122448979592,0.9870967741935484,0.5361015785861358,0.8717948717948718,4.0,43.0,2.0,153.0
run26,1,"3,8,12",0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0
run27,1,"3,4,8,12",0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0
run28,16,0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0
run29,17,0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0
run30,18,0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0
run31,19,0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0
run31,20,0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0
