run,models,rules,train_0,train_1,test_0,test_1,lm_accuracy,lm_precision,lm_recall,lm_ROCAUC,lm_f1,lm_CM_TN,lm_CM_FP,lm_CM_FN,lm_CM_TP,mlv_accuracy,mlv_precision,mlv_recall,mlv_ROCAUC,mlv_f1,mlv_CM_TN,mlv_CM_FP,mlv_CM_FN,mlv_CM_TP
1.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0,0.85,0.8387096774193549,1.0,0.6590909090909092,0.912280701754386,7.0,15.0,0.0,78.0
2.0,1,"3,4,8,12",88.0,312.0,22.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0,0.79,0.7878787878787878,1.0,0.5227272727272727,0.8813559322033898,1.0,21.0,0.0,78.0
3.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.8,0.8020833333333334,0.9871794871794872,0.5617715617715618,0.8850574712643677,3.0,19.0,1.0,77.0,0.8,0.8020833333333334,0.9871794871794872,0.5617715617715618,0.8850574712643677,3.0,19.0,1.0,77.0
4.0,1,"3,4,8,12",91.0,314.0,22.0,78.0,0.8,0.7959183673469388,1.0,0.5454545454545454,0.8863636363636364,2.0,20.0,0.0,78.0,0.8,0.7959183673469388,1.0,0.5454545454545454,0.8863636363636364,2.0,20.0,0.0,78.0
5.0,1,"3,4,8,12",88.0,312.0,25.0,80.0,0.8190476190476189,0.8080808080808081,1.0,0.62,0.893854748603352,6.0,19.0,0.0,80.0,0.8190476190476189,0.8080808080808081,1.0,0.62,0.893854748603352,6.0,19.0,0.0,80.0
1.0,5,0,91.0,314.0,22.0,78.0,0.93,0.9176470588235294,1.0,0.8409090909090909,0.9570552147239264,15.0,7.0,0.0,78.0,0.93,0.9176470588235294,1.0,0.8409090909090909,0.9570552147239264,15.0,7.0,0.0,78.0
2.0,5,0,88.0,312.0,22.0,78.0,0.93,0.9176470588235294,1.0,0.8409090909090909,0.9570552147239264,15.0,7.0,0.0,78.0,0.93,0.9176470588235294,1.0,0.8409090909090909,0.9570552147239264,15.0,7.0,0.0,78.0
3.0,5,0,91.0,314.0,22.0,78.0,0.9,0.8953488372093024,0.9871794871794872,0.789044289044289,0.9390243902439024,13.0,9.0,1.0,77.0,0.9,0.8953488372093024,0.9871794871794872,0.789044289044289,0.9390243902439024,13.0,9.0,1.0,77.0
4.0,5,0,91.0,314.0,22.0,78.0,0.9,0.8863636363636364,1.0,0.7727272727272727,0.9397590361445785,12.0,10.0,0.0,78.0,0.9,0.8863636363636364,1.0,0.7727272727272727,0.9397590361445785,12.0,10.0,0.0,78.0
5.0,5,0,88.0,312.0,25.0,80.0,0.9047619047619048,0.8977272727272727,0.9875,0.81375,0.9404761904761904,16.0,9.0,1.0,79.0,0.9047619047619048,0.8977272727272727,0.9875,0.81375,0.9404761904761904,16.0,9.0,1.0,79.0
1.0,5,"3,8,12",91.0,314.0,22.0,78.0,0.86,0.8478260869565217,1.0,0.6818181818181819,0.9176470588235294,8.0,14.0,0.0,78.0,0.84,0.8297872340425532,1.0,0.6363636363636364,0.9069767441860463,6.0,16.0,0.0,78.0
2.0,5,"3,8,12",88.0,312.0,22.0,78.0,0.9,0.8863636363636364,1.0,0.7727272727272727,0.9397590361445785,12.0,10.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
3.0,5,"3,8,12",91.0,314.0,22.0,78.0,0.84,0.8369565217391305,0.9871794871794872,0.6526806526806528,0.9058823529411766,7.0,15.0,1.0,77.0,0.85,0.8461538461538461,0.9871794871794872,0.6754079254079255,0.9112426035502958,8.0,14.0,1.0,77.0
4.0,5,"3,8,12",91.0,314.0,22.0,78.0,0.89,0.8764044943820225,1.0,0.75,0.934131736526946,11.0,11.0,0.0,78.0,0.87,0.8571428571428571,1.0,0.7045454545454546,0.923076923076923,9.0,13.0,0.0,78.0
5.0,5,"3,8,12",88.0,312.0,25.0,80.0,0.9047619047619048,0.8888888888888888,1.0,0.8,0.9411764705882352,15.0,10.0,0.0,80.0,0.8666666666666667,0.851063829787234,1.0,0.72,0.9195402298850576,11.0,14.0,0.0,80.0
1.0,6,0,91.0,314.0,22.0,78.0,0.1,0.0,0.0,0.2272727272727273,0.0,10.0,12.0,78.0,0.0,0.1,0.0,0.0,0.2272727272727273,0.0,10.0,12.0,78.0,0.0
2.0,6,0,88.0,312.0,22.0,78.0,0.13,0.0,0.0,0.2954545454545454,0.0,13.0,9.0,78.0,0.0,0.13,0.0,0.0,0.2954545454545454,0.0,13.0,9.0,78.0,0.0
3.0,6,0,91.0,314.0,22.0,78.0,0.13,0.09090909090909093,0.01282051282051282,0.2791375291375291,0.02247191011235955,12.0,10.0,77.0,1.0,0.13,0.09090909090909093,0.01282051282051282,0.2791375291375291,0.02247191011235955,12.0,10.0,77.0,1.0
4.0,6,0,91.0,314.0,22.0,78.0,0.09,0.06666666666666668,0.01282051282051282,0.18822843822843824,0.021505376344086027,8.0,14.0,77.0,1.0,0.09,0.06666666666666668,0.01282051282051282,0.18822843822843824,0.021505376344086027,8.0,14.0,77.0,1.0
5.0,6,0,88.0,312.0,25.0,80.0,0.1523809523809524,0.0,0.0,0.32,0.0,16.0,9.0,80.0,0.0,0.1523809523809524,0.0,0.0,0.32,0.0,16.0,9.0,80.0,0.0
1.0,6,"3,8,12",91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.63,0.7808219178082192,0.7307692307692307,0.5017482517482518,0.7549668874172185,6.0,16.0,21.0,57.0
2.0,6,"3,8,12",88.0,312.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.66,0.7894736842105263,0.7692307692307693,0.5209790209790209,0.7792207792207793,6.0,16.0,18.0,60.0
3.0,6,"3,8,12",91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.67,0.8082191780821918,0.7564102564102564,0.5600233100233101,0.781456953642384,8.0,14.0,19.0,59.0
4.0,6,"3,8,12",91.0,314.0,22.0,78.0,0.78,0.78,1.0,0.5,0.8764044943820225,0.0,22.0,0.0,78.0,0.66,0.7682926829268293,0.8076923076923077,0.47202797202797203,0.7875,3.0,19.0,15.0,63.0
5.0,6,"3,8,12",88.0,312.0,25.0,80.0,0.7619047619047619,0.7619047619047619,1.0,0.5,0.8648648648648648,0.0,25.0,0.0,80.0,0.6476190476190476,0.7654320987654321,0.775,0.5075000000000001,0.7701863354037267,6.0,19.0,18.0,62.0
1.0,10,0,91.0,314.0,22.0,78.0,0.09,0.06666666666666668,0.01282051282051282,0.18822843822843824,0.021505376344086027,8.0,14.0,77.0,1.0,0.09,0.06666666666666668,0.01282051282051282,0.18822843822843824,0.021505376344086027,8.0,14.0,77.0,1.0
2.0,10,0,88.0,312.0,22.0,78.0,0.07,0.0,0.0,0.15909090909090912,0.0,7.0,15.0,78.0,0.0,0.07,0.0,0.0,0.15909090909090912,0.0,7.0,15.0,78.0,0.0
3.0,10,0,91.0,314.0,22.0,78.0,0.1,0.07142857142857142,0.01282051282051282,0.21095571095571086,0.021739130434782608,9.0,13.0,77.0,1.0,0.1,0.07142857142857142,0.01282051282051282,0.21095571095571086,0.021739130434782608,9.0,13.0,77.0,1.0
4.0,10,0,91.0,314.0,22.0,78.0,0.08,0.0625,0.01282051282051282,0.16550116550116553,0.02127659574468085,7.0,15.0,77.0,1.0,0.08,0.0625,0.01282051282051282,0.16550116550116553,0.02127659574468085,7.0,15.0,77.0,1.0
